series id,county,state,10y_change,county_state
ATNHPIUS53043A,Lincoln County, WA,60.61866061866063,"Lincoln County,  WA"
ATNHPIUS22115A,Vernon Parish, LA,18.74130297280202,"Vernon Parish,  LA"
ATNHPIUS22109A,Terrebonne Parish, LA,15.007439032278924,"Terrebonne Parish,  LA"
ATNHPIUS55077A,Marquette County, WI,23.267028330319466,"Marquette County,  WI"
ATNHPIUS16085A,Valley County, ID,117.4267214370257,"Valley County,  ID"
ATNHPIUS48471A,Walker County, TX,61.876302988186225,"Walker County,  TX"
ATNHPIUS26145A,Saginaw County, MI,38.24014061298473,"Saginaw County,  MI"
ATNHPIUS45007A,Anderson County, SC,41.4727076948563,"Anderson County,  SC"
ATNHPIUS28049A,Hinds County, MS,14.716153658734674,"Hinds County,  MS"
ATNHPIUS16051A,Jefferson County, ID,91.24893192822556,"Jefferson County,  ID"
ATNHPIUS34009A,Cape May County, NJ,35.20433556378919,"Cape May County,  NJ"
ATNHPIUS42123A,Warren County, PA,33.61913357400721,"Warren County,  PA"
ATNHPIUS27071A,Koochiching County, MN,29.36914519906325,"Koochiching County,  MN"
ATNHPIUS50001A,Addison County, VT,25.98599557124902,"Addison County,  VT"
ATNHPIUS50027A,Windsor County, VT,20.143610599224747,"Windsor County,  VT"
ATNHPIUS22097A,St. Landry Parish, LA,15.265659360147557,"St. Landry Parish,  LA"
ATNHPIUS26015A,Barry County, MI,65.53761323355653,"Barry County,  MI"
ATNHPIUS08119A,Teller County, CO,83.2187857961054,"Teller County,  CO"
ATNHPIUS55115A,Shawano County, WI,29.59115281501341,"Shawano County,  WI"
ATNHPIUS26107A,Mecosta County, MI,51.024841787097365,"Mecosta County,  MI"
ATNHPIUS56033A,Sheridan County, WY,43.840920404889665,"Sheridan County,  WY"
ATNHPIUS37191A,Wayne County, NC,19.735162731333755,"Wayne County,  NC"
ATNHPIUS42115A,Susquehanna County, PA,,"Susquehanna County,  PA"
ATNHPIUS05017A,Chicot County, AR,28.627846399462236,"Chicot County,  AR"
ATNHPIUS45073A,Oconee County, SC,40.10218087540034,"Oconee County,  SC"
ATNHPIUS44009A,Washington County, RI,42.09175881238927,"Washington County,  RI"
ATNHPIUS55129A,Washburn County, WI,27.653795331082065,"Washburn County,  WI"
ATNHPIUS51770A,Roanoke city, VA,27.487271226090538,"Roanoke city,  VA"
ATNHPIUS55081A,Monroe County, WI,33.31886574074074,"Monroe County,  WI"
ATNHPIUS05143A,Washington County, AR,58.74219799320534,"Washington County,  AR"
ATNHPIUS13111A,Fannin County, GA,67.25305518798163,"Fannin County,  GA"
ATNHPIUS23023A,Sagadahoc County, ME,49.05790125154725,"Sagadahoc County,  ME"
ATNHPIUS24035A,Queen Anne's County, MD,20.911334497080606,"Queen Anne's County,  MD"
ATNHPIUS53025A,Grant County, WA,59.868376416310475,"Grant County,  WA"
