,county,state,total_10,total_20,total_one_10,total_one_20,wh_10,wh_20,bl_10,bl_20,na_10,na_20,as_10,as_20,ha_10,ha_20,o_10,o_20,total_change,total_1_change,wh_change,bl_change,na_change,as_change,ha_change,o_change,Abb,county_state,price_change,wh_p_10,wh_p_20,bl_p_10,bl_p_20,na_p_10,na_p_20,as_p_10,as_p_20,ha_p_10,ha_p_20,o_p_10,o_p_20,wh_p_change_20,bl_p_change_20,na_p_change_20,as_p_change_20,ha_p_change_20,o_p_change_20,adj_price_change,county_size_20,median_p
760,Hampton County,South Carolina,21090.0,18561.0,20819.0,18127.0,8999.0,8135.0,11359.0,9592.0,66.0,50.0,113.0,102.0,8.0,17.0,274.0,231.0,-11.991465149359886,-12.930496181372783,-9.601066785198356,-15.555946826305133,-24.242424242424242,-9.734513274336283,112.5,-15.693430656934307,SC,Hampton_County_SC,13.121557383233975,42.669511616880044,43.828457518452666,53.85964912280702,51.67825009428372,0.3129445234708393,0.2693820376057325,0.5357989568515884,0.5495393567156942,0.03793266951161688,0.09158989278594903,1.2991939307728781,1.244545013738484,1.158945901572622,-2.181399028523302,-0.043562485865106804,0.013740399864105801,0.05365722327433215,-0.05464891703439423,-23.62906709636634,small,112900
761,Hancock County,Illinois,19104.0,17620.0,18928.0,16990.0,18723.0,16683.0,52.0,73.0,40.0,51.0,46.0,61.0,11.0,4.0,56.0,118.0,-7.768006700167504,-10.238799661876586,-10.895689793302356,40.38461538461539,27.500000000000004,32.608695652173914,-63.63636363636363,110.71428571428572,IL,Hancock_County_IL,17.917776298268976,98.00565326633166,94.6821793416572,0.2721943048576214,0.41430192962542567,0.20938023450586263,0.28944381384790013,0.24078726968174202,0.34619750283768447,0.05757956448911223,0.022701475595913734,0.2931323283082077,0.6696935300794552,-3.3234739246744596,0.14210762476780425,0.0800635793420375,0.10541023315594245,-0.034878088893198496,0.3765612017712475,-18.832848181331343,small,92400
762,Hancock County,Indiana,70002.0,79840.0,69131.0,75860.0,66644.0,71721.0,1452.0,2393.0,154.0,169.0,558.0,746.0,20.0,44.0,303.0,787.0,14.053884174737865,9.733694001244015,7.618090150651222,64.80716253443526,9.740259740259742,33.691756272401435,120.0,159.73597359735973,IN,Hancock_County_IN,49.3274799178031,95.20299420016572,89.8309118236473,2.0742264506728376,2.997244488977956,0.219993714465301,0.21167334669338678,0.7971200822833634,0.9343687374749499,0.028570612268220906,0.05511022044088176,0.4328447758635468,0.9857214428857717,-5.372082376518421,0.9230180383051185,-0.008320367771914222,0.13724865519158647,0.026539608172660857,0.5528766670222249,12.576855438202784,medium,176500
763,Hancock County,Iowa,11341.0,10795.0,11235.0,10290.0,10957.0,9959.0,56.0,76.0,16.0,39.0,47.0,25.0,1.0,5.0,158.0,186.0,-4.814390265408694,-8.411214953271028,-9.108332572784521,35.714285714285715,143.75,-46.808510638297875,400.0,17.72151898734177,IA,Hancock_County_IA,40.95498367873683,96.61405519795433,92.25567392311255,0.4937836169649943,0.7040296433534043,0.14108103341856978,0.36127836961556276,0.41442553566704876,0.2315886984715146,0.008817564588660612,0.04631773969430292,1.3931752050083768,1.7230199166280684,-4.358381274841776,0.21024602638841006,0.22019733619699297,-0.18283683719553417,0.037500175105642304,0.32984471161969164,4.204359199136512,small,100700
764,Hancock County,Maine,54418.0,55478.0,53785.0,53030.0,52741.0,51444.0,221.0,355.0,220.0,262.0,446.0,566.0,7.0,10.0,150.0,393.0,1.9478848910287037,-1.4037371014223297,-2.4591873495003886,60.633484162895925,19.090909090909093,26.905829596412556,42.857142857142854,162.0,ME,Hancock_County_ME,29.699201964395332,96.91829909221214,92.7286491942752,0.40611562350692787,0.6398932910342838,0.4042779962512404,0.4722592739464292,0.8195817560366055,1.020224233029309,0.012863390789812195,0.018025163127726306,0.2756440883531185,0.7083889109196437,-4.189649897936931,0.23377766752735596,0.0679812776951888,0.20064247699270343,0.00516177233791411,0.43274482256652524,-7.051422515204987,medium,216700
765,Hancock County,Ohio,74782.0,74920.0,73454.0,70895.0,69828.0,66590.0,1158.0,1431.0,167.0,149.0,1263.0,1402.0,12.0,31.0,1026.0,1292.0,0.18453638576127945,-3.4838129986113757,-4.637108323308701,23.57512953367876,-10.778443113772456,11.0055423594616,158.33333333333331,25.925925925925924,OH,Hancock_County_OH,37.410552428203424,93.3754111952074,88.88147357180993,1.5485009761707362,1.9100373731980778,0.22331577117488166,0.1988788040576615,1.68890909577171,1.8713294180459157,0.016046642240111257,0.0413774693005873,1.3719879115295126,1.7245061398825412,-4.493937623397471,0.3615363970273415,-0.024436967117220154,0.1824203222742058,0.02533082706047604,0.3525182283530286,0.6599279486031051,medium,161300
766,Hancock County,West Virginia,30676.0,29095.0,30274.0,27645.0,29365.0,26661.0,712.0,703.0,39.0,36.0,87.0,110.0,8.0,9.0,63.0,126.0,-5.15386621463033,-8.684019290480279,-9.208241103354334,-1.2640449438202246,-7.6923076923076925,26.436781609195403,12.5,100.0,WV,Hancock_County_WV,32.19827968431322,95.72630069109401,91.63430142636192,2.3210327291693833,2.4162227186801855,0.12713521971573868,0.1237326001031105,0.2836093362889555,0.3780718336483932,0.026079019428869473,0.030933150025777626,0.20537227800234711,0.4330641003608867,-4.091999264732095,0.09518998951080215,-0.00340261961262818,0.09446249735943768,0.004854130596908153,0.2276918223585396,-4.552344795287098,medium,95400
767,Hanover County,Virginia,99863.0,109979.0,98363.0,103725.0,86550.0,89742.0,9304.0,9808.0,368.0,399.0,1351.0,2035.0,39.0,33.0,751.0,1708.0,10.129877932767892,5.451236745524231,3.688041594454073,5.417024935511608,8.423913043478262,50.629163582531454,-15.384615384615385,127.43009320905459,VA,Hanover_County_VA,25.65563641356584,86.66873616855092,81.5992143954755,9.316763966634289,8.918066176270015,0.36850485164675606,0.36279653388374145,1.3528534091705635,1.850353249256676,0.03905350329952034,0.03000572836632448,0.7520302814856353,1.5530237590812792,-5.069521773075422,-0.3986977903642739,-0.005708317763014614,0.4974998400861126,-0.009047774933195862,0.8009934775956439,-11.094988066034478,large,296200
768,Haralson County,Georgia,28780.0,29919.0,28384.0,28749.0,26707.0,27011.0,1353.0,1253.0,66.0,64.0,141.0,187.0,2.0,11.0,115.0,223.0,3.957609451007644,1.2859357384441938,1.1382783539895909,-7.390983000739099,-3.0303030303030303,32.62411347517731,450.0,93.91304347826087,GA,Haralson_County_GA,60.66404051772651,92.79708130646283,90.28042381095625,4.7011813759555245,4.187974196998563,0.2293259207783183,0.21391089274374145,0.4899235580264072,0.6250208897356194,0.006949270326615705,0.036765934690330564,0.39958304378040305,0.745345766903974,-2.5166574955065784,-0.5132071789569617,-0.015415028034576839,0.13509733170921223,0.029816664363714857,0.345762723123571,23.913416038126194,medium,169900
769,Hardee County,Florida,27731.0,25327.0,27185.0,20961.0,20013.0,14821.0,1936.0,2179.0,172.0,189.0,298.0,172.0,12.0,8.0,4754.0,3592.0,-8.668998593631676,-22.89497884862976,-25.943136960975366,12.551652892561984,9.883720930232558,-42.281879194630875,-33.33333333333333,-24.442574673958774,FL,Hardee_County_FL,48.79198585739542,72.16833147019581,58.51857701267422,6.9813566045220155,8.60346665613772,0.6202444917240633,0.7462391913767916,1.0746096426382028,0.6791171477079796,0.043272871515632326,0.031586844079440915,17.143269265443006,14.18249299166897,-13.649754457521588,1.6221100516157039,0.12599469965272836,-0.3954924949302232,-0.011686027436191411,-2.9607762737740355,12.041361377795099,medium,127400
